"Incident-based crime statistics, by detailed violations, police services in the Atlantic provinces c 1 2 3 4 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 35-10-0178-01 (formerly CANSIM 252-0075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2025-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Province or territory, Policing district/zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violations,"Total, all violations  [0]",,,,,"Total, all Criminal Code violations (including traffic)  [25]",,,,,"Total, all Criminal Code violations (excluding traffic)  [50]",,,,,Total violent Criminal Code violations  [100] 8,,,,,Total property crime violations  [200],,,,,Total other Criminal Code violations  [300],,,,,Total Criminal Code traffic violations  [900] 9,,,,,Total impaired driving  [910] 9 10 11,,,,,Total other Criminal Code traffic violations  [920] 9,,,,,Total Federal Statute violations  [400],,,,,Total Drug violations  [401],,,,,"Possession, cannabis (pre-legalization)  [4140] 12",,,,,"Possession, cocaine  [4120] 13",,,,,"Total, possession, other Controlled Drugs and Substances Act drugs  [410] 13",,,,,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 12 14 15",,,,,"Total cocaine, trafficking, production or distribution  [430]",,,,,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440]",,,,,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 14 16",,,,,Total Cannabis Act  [450] 12 15,,,,,Youth Criminal Justice Act  [6450],,,,,Total other Federal Statutes  [610],,,,,Bankruptcy Act  [6100],,,,,Income Tax Act  [6150],,,,,Canada Shipping Act  [6200],,,,,Canada Health Act  [6250],,,,,Customs Act  [6300],,,,,Competition Act  [6350],,,,,Excise Act  [6400],,,,,Total Immigration and Refugee Protection Act  [620] 17,,,,,Firearms Act  [6550],,,,,National Defence Act  [6560],,,,,Quarantine Act  [6600],,,,,Other federal statutes  [6900],,,,
"West Hants, Nova Scotia, Royal Canadian Mounted Police, municipal [12745]",,1123,1343,1346,1283,1521,1078,1305,1317,1256,1474,974,1206,1224,1182,1361,284,368,334,352,381,496,642,654,625,694,194,196,236,205,286,104,99,93,74,113,95,81,81,56,87,9,18,12,18,26,45,38,29,27,47,37,30,27,18,32,0,0,0,0,0,8,2,5,3,6,7,3,1,3,7,0,0,0,0,0,6,14,15,6,15,13,7,5,3,4,0,0,0,0,0,3,4,1,3,0,0,0,0,1,0,8,8,2,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,2,4,4,0,0,0,0,0,1,2,0,0,0,3,2,0,4,10
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural [12747]",,705,625,670,800,760,684,596,654,779,739,606,497,576,695,649,164,144,220,242,203,364,287,285,360,362,78,66,71,93,84,78,99,78,84,90,65,88,74,76,79,13,11,4,8,11,21,29,16,21,21,15,19,8,10,11,0,0,0,0,0,3,3,1,0,1,1,2,0,0,0,0,0,0,0,0,6,11,2,3,7,1,2,4,2,2,0,0,0,0,0,4,1,1,5,1,0,0,0,0,0,6,10,8,11,10,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,8,6,5,7,0,0,0,0,0,1,1,0,0,0,2,0,0,3,1
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural [12750]",,1596,1584,1540,1719,1751,1532,1538,1484,1678,1704,1403,1418,1380,1568,1575,435,397,368,463,361,710,790,761,849,899,258,231,251,256,315,129,120,104,110,129,108,98,81,79,75,21,22,23,31,54,64,46,56,41,47,44,38,43,21,30,0,0,0,0,0,5,1,3,3,0,8,4,12,11,6,0,0,0,0,0,15,10,10,4,8,9,12,12,2,12,0,0,0,0,0,7,11,6,1,4,0,0,1,0,0,20,8,12,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,3,0,0,0,0,0,8,0,0,8,6,0,0,0,0,0,0,4,0,0,0,10,4,9,8,8
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural [12751]",,683,782,804,814,876,664,756,782,797,864,549,679,684,689,772,198,187,223,205,223,246,381,328,380,451,105,111,133,104,98,115,77,98,108,92,102,64,88,90,73,13,13,10,18,19,19,26,22,17,12,15,19,13,12,9,0,0,0,0,0,2,2,3,3,1,1,0,2,0,2,0,0,0,0,0,5,12,5,7,4,5,1,1,1,2,0,0,0,0,0,2,4,2,1,0,1,0,0,0,0,3,7,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,2,6,2,3,0,0,0,0,0,1,1,0,0,0,1,1,3,1,0
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal [12752]",,615,695,632,673,595,606,674,618,658,587,555,626,564,605,524,157,178,155,137,108,241,286,287,340,283,157,162,122,128,133,51,48,54,53,63,47,44,44,40,49,4,4,10,13,14,9,21,14,15,8,7,17,11,11,8,0,0,0,0,0,2,4,4,3,2,0,3,1,2,1,0,0,0,0,0,2,5,6,4,5,2,3,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,3,0
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural [12760]",,347,391,349,391,320,341,386,338,381,313,305,346,301,341,289,99,101,83,126,84,157,203,166,176,167,49,42,52,39,38,36,40,37,40,24,28,29,29,35,19,8,11,8,5,5,6,5,11,10,7,4,5,6,8,4,0,0,0,0,0,1,2,1,1,0,0,1,1,1,2,0,0,0,0,0,3,1,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1
"Stellarton, Nova Scotia, Royal Canadian Mounted Police, rural [12770]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, rural [12775]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pictou, Nova Scotia, Royal Canadian Mounted Police, municipal [12776]",,347,367,396,392,369,339,362,388,378,359,314,339,368,366,335,98,99,92,108,89,136,169,202,194,177,80,71,74,64,69,25,23,20,12,24,23,18,18,10,10,2,5,2,2,14,8,5,8,14,10,7,5,5,11,7,0,0,0,0,0,2,1,2,3,3,1,1,2,5,1,0,0,0,0,0,1,1,0,2,2,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
"Pugwash, Nova Scotia, Royal Canadian Mounted Police, rural [12777]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sherbrooke, Nova Scotia, Royal Canadian Mounted Police, rural [12780]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural [12782]",,1077,1133,1306,1330,1390,1051,1117,1288,1323,1375,897,926,1140,1175,1257,264,257,284,314,329,503,546,688,687,682,130,123,168,174,246,154,191,148,148,118,141,166,119,96,84,13,25,29,52,34,26,16,18,7,15,17,12,15,4,12,0,0,0,0,0,2,3,2,2,1,0,1,0,1,2,0,0,0,0,0,7,3,8,0,3,5,3,4,0,3,0,0,0,0,0,3,2,1,1,3,3,0,0,0,0,6,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,3,2,3,1,1
"Tatamagouche, Nova Scotia, Royal Canadian Mounted Police, rural [12785]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bible Hill, Nova Scotia, Royal Canadian Mounted Police, rural [12786]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Arichat, Nova Scotia, Royal Canadian Mounted Police, rural [12800]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural [12802]",,494,510,469,534,476,484,497,457,518,461,400,422,406,445,421,110,124,153,186,133,192,214,169,192,204,98,84,84,67,84,84,75,51,73,40,62,61,49,62,36,22,14,2,11,4,10,13,12,16,15,10,5,8,9,10,0,0,0,0,0,0,0,1,1,3,0,0,5,2,1,0,0,0,0,0,5,2,0,4,3,3,2,2,2,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,8,4,7,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0
"Chéticamp, Nova Scotia, Royal Canadian Mounted Police, rural [12805]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Ingonish Beach, Nova Scotia, Royal Canadian Mounted Police, rural [12812]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural [12813]",,1197,1151,1225,1221,1372,1175,1122,1209,1192,1339,1044,991,1104,1086,1213,358,305,323,345,320,438,469,538,527,595,248,217,243,214,298,131,131,105,106,126,119,98,86,95,111,12,33,19,11,15,22,29,16,29,33,21,17,11,24,21,0,0,0,0,0,6,4,0,3,4,2,1,2,2,4,0,0,0,0,0,4,6,4,14,9,8,5,3,1,4,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,1,12,5,5,12,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,5,0,0,0,0,0,0,1,0,0,0,1,4,2,2,3
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, rural [12820]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal [12821]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"St. Peters, Nova Scotia, Royal Canadian Mounted Police, rural [12825]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal [12833]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal [12834]",,1132,959,965,1011,1088,1110,934,950,981,1062,1035,864,872,888,960,365,262,257,263,292,445,437,427,455,463,225,165,188,170,205,75,70,78,93,102,51,60,75,86,89,24,10,3,7,13,22,25,15,30,26,20,23,15,28,25,0,0,0,0,0,3,2,2,5,10,1,1,2,3,1,0,0,0,0,0,14,13,7,13,13,0,4,4,4,1,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,1
"Canso, Nova Scotia, Royal Canadian Mounted Police, rural [12835]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural [12836]",,305,309,365,306,289,290,304,360,299,280,270,274,339,281,264,69,82,99,93,81,133,131,176,139,115,68,61,64,49,68,20,30,21,18,16,16,25,19,14,16,4,5,2,4,0,15,5,5,7,9,13,4,3,6,8,0,0,0,0,0,1,1,2,1,2,0,0,0,1,1,0,0,0,0,0,5,3,1,3,4,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"Oxford, Nova Scotia, Royal Canadian Mounted Police, rural [12837]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pictou, Nova Scotia, Royal Canadian Mounted Police, rural [12838]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Truro, Nova Scotia, Royal Canadian Mounted Police, rural [12840]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sydney, Nova Scotia, Royal Canadian Mounted Police, rural [12841]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Halifax, Nova Scotia, Royal Canadian Mounted Police, rural [12843]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
